name,K12,高等教育 ,素质和兴趣,职业教育,语言教育,留学服务,更多教育培训,其他院校
安徽,17359,848,4609,3429,660,93,2912,2158
北京,3861,1337,4922,1892,1136,251,711,2151
福建,10141,776,4299,2976,546,100,2707,1746
甘肃,8416,343,1731,1326,342,23,1266,891
广东,24256,2427,15192,11075,2390,509,8033,5314
广西,12494,615,3230,2725,550,48,2564,1598
贵州,8956,391,1897,1654,405,62,1498,1008
海南,2975,154,504,522,125,24,556,226
河北,19262,1169,6017,5760,1173,155,4994,3936
河南,26738,1411,10508,5858,1864,249,6098,4755
黑龙江,7622,733,5380,2026,1844,87,2688,2888
湖北,11911,1465,5573,3496,896,128,2836,2477
湖南,13357,1050,5138,3201,981,121,3043,3325
吉林,6758,739,3367,2439,1193,94,2096,1661
江苏,19705,2404,12536,8222,2106,301,7760,4044
江西,12708,800,3736,2233,488,41,2307,1673
辽宁,11035,1134,7348,3732,2516,214,3842,3424
内蒙古,5534,336,3183,1552,983,79,1855,1167
宁夏,2295,136,770,463,225,17,622,308
青海,1218,80,195,368,36,12,313,166
山东,23421,2238,16634,7577,2648,295,7927,5657
山西,11299,629,4295,1952,640,56,3160,2138
陕西,12053,1029,4281,2920,829,120,2311,2071
上海,3891,1181,3979,1852,1017,353,791,1791
四川,15328,1452,6003,5253,1132,150,4253,3454
天津,2892,577,1667,1455,359,50,748,1093
西藏,643,29,28,90,6,0,93,9
新疆,3592,254,832,1012,142,16,1257,403
云南,10113,729,2239,1807,434,59,1930,1138
浙江,13937,1600,8010,4801,1681,242,5345,3301
重庆,6428,602,2698,1935,445,89,951,1759
