name,K12,高等教育,职业教育,留学服务,语言教育,素质和兴趣,其他院校,更多教育培训
安徽,18209,599,4452,138,888,5308,867,1643
北京,4124,1011,2489,261,1246,5270,1278,307
福建,10807,547,3826,121,725,4982,704,1730
甘肃,8796,252,1752,38,438,1969,309,701
广东,25612,1686,13557,544,2867,16872,2712,4901
广西,13062,422,3503,71,784,3774,657,1623
贵州,9382,274,2065,75,549,2193,374,997
海南,3030,110,684,26,160,599,107,380
河北,20937,775,7294,198,1559,7312,1389,3248
河南,27967,985,7580,312,2790,12354,2226,3700
黑龙江,8472,494,2960,109,2335,6177,1226,1631
湖北,12614,1041,4815,189,1121,6324,1105,1584
湖南,14786,675,4201,148,1241,6120,1354,1915
吉林,7180,498,3309,122,1519,3948,569,1213
江苏,20468,1667,11027,448,2797,14506,2032,4653
江西,13435,545,3013,67,703,4374,589,1405
辽宁,11794,787,5004,256,3147,8726,1475,2267
内蒙古,5918,220,2132,87,1192,3652,441,1098
宁夏,2405,85,657,26,300,928,90,383
青海,1273,45,458,12,49,209,95,257
山东,24855,1512,10318,468,3425,19412,2366,4788
山西,12085,432,2764,85,896,5075,914,2014
陕西,12674,665,3969,140,1056,5011,858,1281
上海,3998,859,2756,405,1162,4069,959,417
四川,16310,896,6774,177,1566,7156,1556,2678
天津,3224,397,1805,78,429,1944,524,420
西藏,645,23,103,0,8,36,8,56
新疆,3780,175,1347,33,191,1056,161,718
云南,10451,475,2462,81,591,2694,476,1119
浙江,14717,1088,6524,297,2123,9373,1673,3397
重庆,6779,361,2578,96,554,3077,965,495
